LAT,LON,mag
-57.5,267.5,0.1759
-57.5,272.5,0.1952
-57.5,277.5,0.2508
-57.5,282.5,0.3142
-57.5,287.5,0.3095
-57.5,292.5,0.1047
-57.5,297.5,-0.0344
-57.5,302.5,-0.1912
-57.5,307.5,-0.4247
-57.5,312.5,-0.6621
-57.5,317.5,-0.8042
-57.5,322.5,-0.8369
-57.5,327.5,-0.7738
-57.5,332.5,-0.6904
-57.5,337.5,-0.6066
-57.5,342.5,-0.5069
-57.5,347.5,-0.3898
-57.5,352.5,-0.2877
-57.5,357.5,-0.2148
-52.5,2.5,-0.4405
-52.5,7.5,-0.2606
-52.5,12.5,-0.1353
-52.5,17.5,-0.0543
-52.5,22.5,-0.0424
-52.5,27.5,-0.0961
-52.5,32.5,-0.1437
-52.5,37.5,-0.1535
-52.5,42.5,-0.1427
-52.5,47.5,-0.0801
-52.5,52.5,-0.0128
-52.5,57.5,0.0166
-52.5,62.5,0.0624
-52.5,67.5,0.1396
-52.5,72.5,0.2079
-52.5,77.5,0.2141
-52.5,82.5,0.2041
-52.5,87.5,0.3016
-52.5,92.5,0.4769
-52.5,97.5,0.6113
-52.5,102.5,0.5967
-52.5,107.5,0.5712
-52.5,112.5,0.6035
-52.5,117.5,0.621
-52.5,122.5,0.6461
-52.5,127.5,0.6679
-52.5,132.5,0.7067
-52.5,137.5,0.726
-52.5,142.5,0.6432
-52.5,147.5,0.4736
-52.5,152.5,0.3503
-52.5,157.5,0.2237
-52.5,162.5,0.0451
-52.5,167.5,-0.1057
-52.5,172.5,-0.1247
-52.5,177.5,-0.0844
-52.5,182.5,-0.0924
-52.5,187.5,-0.0152
-52.5,192.5,0.2562
-52.5,197.5,0.5512
-52.5,202.5,0.7281
-52.5,207.5,0.887
-52.5,212.5,1.0095
-52.5,217.5,1.0419
-52.5,222.5,1.0577
-52.5,227.5,0.9599
-52.5,232.5,0.8454
-52.5,237.5,0.7069
-52.5,242.5,0.6388
-52.5,247.5,0.5456
-52.5,252.5,0.4024
-52.5,257.5,0.3571
-52.5,262.5,0.3188
-52.5,267.5,0.2983
-52.5,272.5,0.3377
-52.5,277.5,0.3925
-52.5,282.5,0.4561
-52.5,287.5,0.2683
-52.5,292.5,0.0767
-52.5,297.5,0.029
-52.5,302.5,-0.2283
-52.5,307.5,-0.4912
-52.5,312.5,-0.6808
-52.5,317.5,-0.7654
-52.5,322.5,-0.7988
-52.5,327.5,-0.9302
-52.5,332.5,-0.952
-52.5,337.5,-0.9172
-52.5,342.5,-0.8132
-52.5,347.5,-0.696
-52.5,352.5,-0.5965
-52.5,357.5,-0.5423
-47.5,2.5,-0.6957
-47.5,7.5,-0.52
-47.5,12.5,-0.3936
-47.5,17.5,-0.2405
-47.5,22.5,-0.1705
-47.5,27.5,-0.2409
-47.5,32.5,-0.3077
-47.5,37.5,-0.2027
-47.5,42.5,-0.3181
-47.5,47.5,-0.2443
-47.5,52.5,-0.0996
-47.5,57.5,-0.2217
-47.5,62.5,-0.2837
-47.5,67.5,-0.2835
-47.5,72.5,-0.2395
-47.5,77.5,-0.1734
-47.5,82.5,-0.1261
-47.5,87.5,-0.0245
-47.5,92.5,0.1169
-47.5,97.5,0.2464
-47.5,102.5,0.2569
-47.5,107.5,0.2419
-47.5,112.5,0.2624
-47.5,117.5,0.278
-47.5,122.5,0.3089
-47.5,127.5,0.3774
-47.5,132.5,0.4005
-47.5,137.5,0.3893
-47.5,142.5,0.2871
-47.5,147.5,0.1611
-47.5,152.5,0.0807
-47.5,157.5,-0.0078
-47.5,162.5,-0.2115
-47.5,167.5,-0.3965
-47.5,172.5,-0.4496
-47.5,177.5,-0.4355
-47.5,182.5,-0.3486
-47.5,187.5,-0.1697
-47.5,192.5,0.1373
-47.5,197.5,0.5521
-47.5,202.5,0.8308
-47.5,207.5,1.0219
-47.5,212.5,1.1162
-47.5,217.5,1.1429
-47.5,222.5,1.1249
-47.5,227.5,0.9357
-47.5,232.5,0.715
-47.5,237.5,0.5126
-47.5,242.5,0.4395
-47.5,247.5,0.3483
-47.5,252.5,0.2468
-47.5,257.5,0.3187
-47.5,262.5,0.3624
-47.5,267.5,0.4032
-47.5,272.5,0.4476
-47.5,277.5,0.4467
-47.5,282.5,0.4749
-47.5,287.5,0.1919
-47.5,292.5,0.1997
-47.5,297.5,0.0465
-47.5,302.5,-0.192
-47.5,307.5,-0.4938
-47.5,312.5,-0.6503
-47.5,317.5,-0.6945
-47.5,322.5,-0.8047
-47.5,327.5,-0.9667
-47.5,332.5,-1.0495
-47.5,337.5,-1.0556
-47.5,342.5,-0.9807
-47.5,347.5,-0.8936
-47.5,352.5,-0.8322
-47.5,357.5,-0.7968
-42.5,2.5,-0.5071
-42.5,7.5,-0.4521
-42.5,12.5,-0.3992
-42.5,17.5,-0.2833
-42.5,22.5,-0.1902
-42.5,27.5,-0.2762
-42.5,32.5,-0.3474
-42.5,37.5,-0.3484
-42.5,42.5,-0.3093
-42.5,47.5,-0.2214
-42.5,52.5,-0.1826
-42.5,57.5,-0.2316
-42.5,62.5,-0.3118
-42.5,67.5,-0.3189
-42.5,72.5,-0.2581
-42.5,77.5,-0.2092
-42.5,82.5,-0.1519
-42.5,87.5,-0.0811
-42.5,92.5,-0.0294
-42.5,97.5,-0.0294
-42.5,102.5,-0.119
-42.5,107.5,-0.2162
-42.5,112.5,-0.2381
-42.5,117.5,-0.1479
-42.5,122.5,0.0224
-42.5,127.5,0.1983
-42.5,132.5,0.2706
-42.5,137.5,0.2861
-42.5,142.5,0.2337
-42.5,147.5,0.3489
-42.5,152.5,0.2016
-42.5,157.5,0.1161
-42.5,162.5,-0.1647
-42.5,167.5,-0.4555
-42.5,172.5,-0.6366
-42.5,177.5,-0.568
-42.5,182.5,-0.3499
-42.5,187.5,-0.1275
-42.5,192.5,0.1859
-42.5,197.5,0.6148
-42.5,202.5,0.9374
-42.5,207.5,1.1267
-42.5,212.5,1.1332
-42.5,217.5,1.091
-42.5,222.5,0.9051
-42.5,227.5,0.6404
-42.5,232.5,0.3885
-42.5,237.5,0.1393
-42.5,242.5,0.0421
-42.5,247.5,0.0309
-42.5,252.5,0.0737
-42.5,257.5,0.3039
-42.5,262.5,0.4425
-42.5,267.5,0.5373
-42.5,272.5,0.5668
-42.5,277.5,0.47
-42.5,282.5,0.4485
-42.5,287.5,0.573
-42.5,292.5,0.9327
-42.5,297.5,0.2682
-42.5,302.5,0.1411
-42.5,307.5,-0.058
-42.5,312.5,-0.194
-42.5,317.5,-0.2582
-42.5,322.5,-0.303
-42.5,327.5,-0.4091
-42.5,332.5,-0.4725
-42.5,337.5,-0.4823
-42.5,342.5,-0.4692
-42.5,347.5,-0.4539
-42.5,352.5,-0.2945
-42.5,357.5,-0.5235
-37.5,2.5,0.1071
-37.5,7.5,0.0459
-37.5,12.5,-0.0092
-37.5,17.5,0.022
-37.5,22.5,0.0323
-37.5,27.5,-0.094
