time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2021-02-24T12:37:32.357Z,64.0808,-21.8017,10,4.6,mb,,113,0.7,0.61,us,us6000dknk,2021-02-25T11:00:26.346Z,"5 km E of Garðabær, Iceland",earthquake,7.1,1.9,0.063,75,reviewed,us,us
2021-02-24T12:00:03.660Z,36.5601667,-118,6.89,2.83,ml,43,47,0.1363,0.19,ci,ci39800312,2021-02-24T21:35:57.280Z,"7km ESE of Lone Pine, CA",earthquake,0.19,0.73,0.116,25,reviewed,ci,ci
2021-02-24T10:51:53.112Z,35.5327,26.6286,14.69,4.1,mb,,83,0.434,0.84,us,us6000dkn0,2021-02-24T11:34:15.040Z,"29 km WNW of Fry, Greece",earthquake,5.2,3.6,0.174,9,reviewed,us,us
2021-02-24T10:49:01.840Z,64.0832,-22.463,10,4.7,mb,,109,0.829,0.73,us,us6000dkmz,2021-02-24T11:18:31.647Z,"9 km E of Garður, Iceland",earthquake,6,1.9,0.053,108,reviewed,us,us
2021-02-24T10:43:46.293Z,43.583,-110.4219,6.97,3.6,ml,,79,0.135,0.57,us,us6000dkmw,2021-02-25T10:46:31.499Z,"16 km ESE of Kelly, Wyoming",earthquake,1.7,6,0.049,54,reviewed,us,us
2021-02-24T10:43:32.086Z,31.6036,-104.1548,5,2.6,ml,,54,0.302,0.38,us,us6000dkmv,2021-02-24T10:58:13.040Z,"46 km NW of Toyah, Texas",earthquake,0.7,1.9,0.066,44,reviewed,us,us
2021-02-24T10:30:48.319Z,64.0302,-22.1371,10,4.9,mb,,65,0.801,0.81,us,us6000dkn1,2021-02-24T11:06:15.945Z,"9 km SW of Álftanes, Iceland",earthquake,5,1.9,0.043,171,reviewed,us,us
2021-02-24T10:28:01.499Z,64.0871,-21.8019,10,4.6,mb,,55,0.694,0.61,us,us6000dkmq,2021-02-24T11:18:43.186Z,"5 km E of Garðabær, Iceland",earthquake,6.5,1.9,0.057,92,reviewed,us,us
2021-02-24T10:17:55.032Z,63.9967,-22.2424,10,4.8,mb,,80,0.852,0.83,us,us6000dkmp,2021-02-24T11:06:30.025Z,"7 km ENE of Vogar, Iceland",earthquake,5.8,1.9,0.032,295,reviewed,us,us
2021-02-24T10:05:59.873Z,63.9602,-22.2736,10,5.6,mww,,46,0.891,1.22,us,us6000dkmk,2021-02-25T10:10:58.315Z,"5 km ESE of Vogar, Iceland",earthquake,5.6,1.8,0.039,64,reviewed,us,us
